"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C16";"CP_Elec_6.3x5.8";1;"4.7u";;;
2;"1,P3,P4,P5,P6,P7,P8,P9,P10,P11,P13,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,DAC Output,3,5,7,2,4,6,8,P14,P51";"PinHeader_1x01_P2.54mm_Vertical";51;"pin";;;
3;"U2";"DIP-8_W7.62mm";1;"MC34063AP";;;
4;"IC8,IC7";"SOP65P780X200-28N";2;"MCP23017T-E_SS";;;
5;"C1";"C_0805_2012Metric";1;"3.3u";;;
6;"C2,C4,C5,C8,C17,C18,C19,C20";"C_0805_2012Metric";8;"100n";;;
7;"C3";"C_0805_2012Metric";1;"4.7u";;;
8;"C6,C7";"C_0805_2012Metric";2;"27p";;;
9;"C9";"C_0805_2012Metric";1;"100u";;;
10;"C10";"C_0805_2012Metric";1;"10n";;;
11;"C11";"C_1210_3225Metric";1;"220u";;;
12;"C12";"C_0805_2012Metric";1;"1.2n";;;
13;"C13";"C_0805_2012Metric";1;"2.2u";;;
14;"C14,C15";"C_0805_2012Metric";2;"1u";;;
15;"C21";"C_0805_2012Metric";1;"100p";;;
16;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5819";;;
17;"IC1";"SOP50P490X110-11N";1;"LT3042EMSE#TRPBF";;;
18;"IC4";"SOIC127P600X175-8N";1;"MCP1501-25E_SN";;;
19;"IC5";"QFP50P1200X1200X160-64N";1;"FT2232HL-TRAY";;;
20;"IC6";"SOP65P640X120-20N";1;"AD7998BRUZ-0";;;
21;"J1";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"Barrel_Jack_Switch";;;
22;"J2";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
23;"R1,R5,R6";"R_0805_2012Metric";3;"10k";;;
24;"R3";"R_0805_2012Metric";1;"33k(1%)";;;
25;"R4";"R_0805_2012Metric";1;"0.36";;;
26;"R7";"R_0805_2012Metric";1;"164k";;;
27;"R8";"R_0805_2012Metric";1;"2.2k";;;
28;"R9,R10";"R_0805_2012Metric";2;"100k";;;
29;"R11,R14,R15,R16,R17";"R_0805_2012Metric";5;"1k";;;
30;"R12";"R_0805_2012Metric";1;"11.4k";;;
31;"R13";"R_0805_2012Metric";1;"0";;;
32;"R18";"R_0805_2012Metric";1;"12k";;;
33;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"93LCxxB";;;
34;"Y1";"Crystal_HC49-U_Vertical";1;"12 MHz";;;
35;"IC2";"SOP50P490X110-10N";1;"AD5691RBRMZ";;;
36;"L1";"L_1812_4532Metric";1;"15u";;;
37;"U3";"TO-220-5_Horizontal_TabDown_tab_pin_6";1;"MCP1826";;;
